aspect,phrase,polarity,review
atmosphere,more convincing,positive,Sure the special effects are much more convincing but the acting and the atmosphere is more convincing in old one.
Tenet,fantastic,positive,Tenet ist fantastic and gave me what only few movies did before - a whole new experience.
R. Fiennes,one of the best I have ever seen,positive,Acting wise R. Fiennes's performance was one of the best I have ever seen and he deserved an Oscar for it.
Tom Hardy,tremendous,positive,"The acting was tremendous as well, as Tom Hardy and Charlize Theron shine in their roles as Max and Furiosa."
Charlize Theron,shine in their roles as,positive,"The acting was tremendous as well, as Tom Hardy and Charlize Theron shine in their roles as Max and Furiosa."
Max,tremendous,positive,"The acting was tremendous as well, as Tom Hardy and Charlize Theron shine in their roles as Max and Furiosa."
Furiosa,tremendous,positive,"The acting was tremendous as well, as Tom Hardy and Charlize Theron shine in their roles as Max and Furiosa."
Ben Kingsley,Strong performances,positive,"Strong performances by Liam Neelson as Oscar Schindler, Ben Kingsley, and Ralph Feinnes enhanced the strength of this painful and touching story."
Ralph Feinnes,enhanced the strength of this painful and touching story,positive,"Strong performances by Liam Neelson as Oscar Schindler, Ben Kingsley, and Ralph Feinnes enhanced the strength of this painful and touching story."
Shindler,a whole lot of money,neutral,"Shindler left with a whole lot of money, which he could probably have used to save even more people, but elected not to."
Schindler,emotionally gut wrenching,positive,The scene in which Schindler is leaving the camp to flee the allies is emotionally gut wrenching.
Babe,Mad Max will turn you off human flesh,positive,"If Babe will turn you off bacon, Mad Max will turn you off human flesh."
bacon,Mad Max will turn you off human flesh,positive,"If Babe will turn you off bacon, Mad Max will turn you off human flesh."
Mad Max,human flesh,neutral,"If Babe will turn you off bacon, Mad Max will turn you off human flesh."
guns,The guns and war vehicles are completely out of this world,positive,The guns and war vehicles are completely out of this world.
Mad Max,it's unsettling and it's absolutely entertaining,positive,"Mad Max: Fury Road is confusing, it's unsettling and it's absolutely entertaining."
Schindler's List,strange,negative,"For some strange reason I find it difficult to talk about `Schindler's List', which is strange as I could talk for hours about any other Spielberg film."
Spielberg,I could talk for hours about any other Spielberg film,neutral,"For some strange reason I find it difficult to talk about `Schindler's List', which is strange as I could talk for hours about any other Spielberg film."
special effects,"blow 'em up special effects, stupid dialog",negative,"It was all blow 'em up special effects, stupid dialog, and a number of the scenes were sped up and looked silly with people moving in fast motion."
dialog,stupid,negative,"It was all blow 'em up special effects, stupid dialog, and a number of the scenes were sped up and looked silly with people moving in fast motion."
Humungus,Wez the crazy character,positive,"Road Warrior had an amazing story, a goal, a redemption, boomerang scene,fantastic twist, Wez the crazy character and Humungus."
Spielberg,using the cinematic medium,neutral,"Spielberg, using the cinematic medium, connects its audience through time to raise awareness to the fact stranger than fiction of this history."
Steven Spielberg,A triumph,positive,A triumph for Steven Spielberg and the cast and crew.
Takeaways: It is typical Hollywood CGI,"all action, no content",neutral,"Takeaways: It is typical Hollywood CGI, all action, no content."
content,"all action, no content",neutral,"Takeaways: It is typical Hollywood CGI, all action, no content."
Tom Hardy,if he is in any squeals,neutral,I am a big Tom Hardy fan but this has to be the worst movie he has been a part of I hope that if he is in any squeals that they give him a way bigger part and a better script.
Nolan,that's an amazing thing after 10 good to outstanding films in a row,positive,This is Nolan's first flop and that's an amazing thing after 10 good to outstanding films in a row.
Zoe Kravits,wearing a delightful little number,positive,The only bright spot to this entire film (and what made me watch this dross to the end) was the regular appearance of the delectable Zoe Kravits wearing a delightful little number.
Christopher,mindbending story,positive,"Christopher, once again, created another masterpiece full of action and a mindbending story."
Mad Max,decent,positive,"Mad Max was decent, Road Warrior was pretty good, Thunderdome was ok."
Road Warrior,pretty good,positive,"Mad Max was decent, Road Warrior was pretty good, Thunderdome was ok."
Thunderdome,ok,neutral,"Mad Max was decent, Road Warrior was pretty good, Thunderdome was ok."
Tom Hardy,magnificent,positive,Tom Hardy is magnificent in this sequel.
director,No other director could have attempted such a subject and succeeded.,positive,No other director could have attempted such a subject and succeeded.
Nolan's,Nolan's audition for the next Bond movie.,neutral,"Perhaps 'T E N E T"" is Nolan's audition for the next Bond movie."
Bond,Nolan's audition for the next Bond movie.,neutral,"Perhaps 'T E N E T"" is Nolan's audition for the next Bond movie."
editing,lil distracting,negative,But the editing is a lil distracting.
AC/DC,steroids,negative,"It feel like grunge, dark metal and AC/DC on steroids."
Nolan's,skillfully portrayed on the big screen,positive,But that doesn't take away from enjoying the cinematic experience of Nolan's vivid imagination that is skillfully portrayed on the big screen.
action,the action was not what I'm interested in,negative,I couldn't keep track of the storyline and the action was not what I'm interested in.
Nolan,topping plenty of categories,positive,All in all another really good addition to the Nolan library and come awards season i'm sure this Title will be topping plenty of categories.
"""emperor's new clothes""",dynamic,neutral,"I refer to an ""emperor's new clothes"" dynamic."
's,walking into the shadows and fade to darkness,neutral,"That's how Schindler's List should have ended, with Schindler walking into the shadows and fade to darkness."
Schindler's List,walking into the shadows and fade to darkness,neutral,"That's how Schindler's List should have ended, with Schindler walking into the shadows and fade to darkness."
Schindler,walking into the shadows and fade to darkness,neutral,"That's how Schindler's List should have ended, with Schindler walking into the shadows and fade to darkness."
Theron,pretty good,positive,I thought Hardy and Theron did their roles pretty good.
Tenet,Inception a visual spectacle,positive,"While Inception a visual spectacle, Tenet was a 'how did they do that?!"
Charlize,hypnotic to watch,positive,"Charlize was hypnotic to watch, so so well done."
AFI's,it must be really good,positive,"I saw this after I noticed it was ranked #9 on AFI's top 100. I said, ""it must be really good!"
Tom Hardy,I would have preferred to see the aging actor in the role,neutral,"Tom Hardy didn't bring quite the same gravitas to the role as Mel Gibson did, and I would have preferred to see the aging actor in the role, which I think could have made it more moving when Max is suffering nightmarish visions of his dead wife and child -- that's the trouble with a reboot that doesn't ignore the previous films, in squaring away the new cast with what has gone before."
Mel Gibson,I would have preferred to see the aging actor in the role,neutral,"Tom Hardy didn't bring quite the same gravitas to the role as Mel Gibson did, and I would have preferred to see the aging actor in the role, which I think could have made it more moving when Max is suffering nightmarish visions of his dead wife and child -- that's the trouble with a reboot that doesn't ignore the previous films, in squaring away the new cast with what has gone before."
Max,nightmarish visions of his dead wife and child,neutral,"Tom Hardy didn't bring quite the same gravitas to the role as Mel Gibson did, and I would have preferred to see the aging actor in the role, which I think could have made it more moving when Max is suffering nightmarish visions of his dead wife and child -- that's the trouble with a reboot that doesn't ignore the previous films, in squaring away the new cast with what has gone before."
Tom Hardy,every action sequence he does,neutral,Tom Hardy seems to own every action sequence he does.
Liam Neeson's,The shear beauty,positive,"The shear beauty of Liam Neeson's performance of this thrilling story, is just the start."
audio levels,The only thing that was disappointing,negative,The only thing that was disappointing was the audio levels.
Charlize Theron,incredible like always,positive,Charlize Theron is incredible like always.
Theron,a total unrepentant BadA**,positive,"Tom ""For You"" Hardy Kills it as Max, and Theron is a total unrepentant BadA**."
Schindler's List,one of the best movies I've ever seen!,positive,Schindler's List is one of the best movies I've ever seen!
Mel Gibson,this shame for 21st century,negative,First part with Mel Gibson was further better that this shame for 21st century.
setting,very detailed and feels authentic,positive,"The vision of this post-apocalyptic setting is very detailed and feels authentic, with a range of disfigured characters, beautiful maidens, and a world that looks and feels as though it has died."
action,thrilling,positive,"The action is thrilling and the visual effects amazing, not to mention the inversion thingy."
visual effects,amazing,positive,"The action is thrilling and the visual effects amazing, not to mention the inversion thingy."
inversion thingy,thrilling,positive,"The action is thrilling and the visual effects amazing, not to mention the inversion thingy."
Nolan,this is not one of them.,negative,"I usually like Nolan movies, but this is not one of them."
Steven Spielberg,Vince Vaughn,neutral,I can't see why Steven Spielberg can't just be more like Vince Vaughn.
Vince Vaughn,Steven Spielberg can't just be more like Vince Vaughn.,neutral,I can't see why Steven Spielberg can't just be more like Vince Vaughn.
Mad Max,not about a bunch of strong independent women with shaved heads,neutral,"This is supposed to be a movie about Mad Max, not about a bunch of strong independent women with shaved heads or whatever."
car and fuel cult,adds illusion,neutral,The car and fuel cult adds illusion to this movie.
silver screen,large man is just a genius,positive,That large man is just a genius of the silver screen.
actors,Good actors,positive,Good actors wasted there time being in this awful movie.
Fiennes,how often,neutral,"Fiennes, Neeson and Kingsley - how often do you get that group of actors?"
Neeson,how often,neutral,"Fiennes, Neeson and Kingsley - how often do you get that group of actors?"
Kingsley,how often,neutral,"Fiennes, Neeson and Kingsley - how often do you get that group of actors?"
tannerbrown,reviewer tannerbrown,neutral,I agree with reviewer tannerbrown.
mad max,It doesn't hold a patch on the first mad max,neutral,It doesn't hold a patch on the first mad max
Imax scenes,great Imax scenes and some OK action set pieces,neutral,"I had an interesting concept, some great Imax scenes and some OK action set pieces, but that's not enough to make an entertaining movie."
action set pieces,OK,neutral,"I had an interesting concept, some great Imax scenes and some OK action set pieces, but that's not enough to make an entertaining movie."
movie,fell asleep,negative,I started the movie twice and I fell asleep twice ...
Schindler's List,in my top two favorite movies,positive,"Overall, Schindler's List is definitely in my top two favorite movies."
FX,two hours long chase,positive,"Still, on general terms, this movie is two hours long chase with great FX, and not much more to it."
Spielberg,smashingly successful,positive,"In the long list of smashingly successful Spielberg films, ""Schindler's List"" ranks at the very top."
Tom Hardy,if you remember mad Gibson,neutral,"Tom Hardy is not Max, especially if you remember mad Gibson."
mad Gibson,if you remember,neutral,"Tom Hardy is not Max, especially if you remember mad Gibson."
Tenet,joins the top of the list,positive,Now Tenet joins the top of the list.
Schindler,gave me my life,neutral,"Pfefferberg: ""Schindler gave me my life, and I tried to give him immortality."
David Fincher/Christopher Nolan,gritty-film look,positive,The clean digital cameras have their use but nothing beats that David Fincher/Christopher Nolan gritty-film look.
look,David Fincher/Christopher Nolan gritty-film,positive,The clean digital cameras have their use but nothing beats that David Fincher/Christopher Nolan gritty-film look.
Steven Spielberg,incredible job directing,positive,Steven Spielberg did an incredible job directing.
SCENES,brain orgasm,positive,THE SCENES ARE AMAZING WITH SOUND EDITS and EFFECTS. I had brain orgasm while watching it on theatres.
SOUND EDITS,THE SCENES ARE AMAZING WITH,positive,THE SCENES ARE AMAZING WITH SOUND EDITS and EFFECTS. I had brain orgasm while watching it on theatres.
hollywood,tears,neutral,When i first watched this film i ws cynical about the attempt by hollywood to deal with an issue this serious after watching the film i was in tears.
Schindler's,compassion towards his prisoners,neutral,"Schindler's compassion towards his prisoners is something that you don't normally see in holocaust movies, and I thought it was wonderful."
runtime,The worst part,negative,The worst part is the runtime.
Charlize Theron,brings so much intensity in her acting,positive,A special mention to Charlize Theron who brings so much intensity in her acting.
Max,hood ornament,neutral,Max himself is literally little more than a hood ornament for the first part of the film.
Max,side-kick of Curiosa for the good portion of the run time,neutral,Max plays side-kick of Curiosa for the good portion of the run time.
Curiosa,side-kick of Curiosa for the good portion of the run time,neutral,Max plays side-kick of Curiosa for the good portion of the run time.
pictures,pretty good,positive,The pictures and the action of this movie are pretty good.
action,pretty good,positive,The pictures and the action of this movie are pretty good.
George miller,breathless,positive,"Wow George miller,this movie that you made has left me breathless, still 2 days after watching it."
Christopher Nolan,very Bond-like,positive,"Great action movie - very Bond-like, but being Christopher Nolan, there's a lot more to it."
cinematography,the cinematography alone is not worth the trip to the theatre,negative,Save this movie for streaming because the cinematography alone is not worth the trip to the theatre.
Andrei Sator,he was so blind,negative,"Andrei Sator said that he does NOT believe, he just know, but knowledge is based on belief, that's why he fooled himself that he was the chosen one to annihilate the world and make a new one, he was so blind because he only believed in himself, while he was claiming that he didn't have belief."
Wizard of Oz,Citizen Kane,neutral,Is Wizard of Oz a better film than Citizen Kane?
Citizen Kane,Wizard of Oz,neutral,Is Wizard of Oz a better film than Citizen Kane?
Michael Caine,what is the purpose,neutral,"And what is the purpose of the Michael Caine character, apart from including Michael Caine in the film?"
Michael Caine,what is the purpose,neutral,"And what is the purpose of the Michael Caine character, apart from including Michael Caine in the film?"
Robert Pattinson,did not age well,negative,Robert Pattinson did not age well.
Liam Neeson,the best,positive,Liam Neeson and John Williams are the best.
John Williams,the best,positive,Liam Neeson and John Williams are the best.
Spielberg,next level,positive,"i have seen a lot of movies from Spielberg this one is next level , a great great movie i am Muslim and this movie mostly is about jew's but this movie is not bout racism its about humanity and the thing what one guy ( Osaka) did is amazing for Jew's at the end of the movie i really cried...."
Osaka,amazing for Jew's,neutral,"i have seen a lot of movies from Spielberg this one is next level , a great great movie i am Muslim and this movie mostly is about jew's but this movie is not bout racism its about humanity and the thing what one guy ( Osaka) did is amazing for Jew's at the end of the movie i really cried...."
plot,hey I can't lower my rating,negative,"The only thing that doesn't quite keep the good job is that the plot is more around Furiosa than it is on Max, but hey I can't lower my rating because of that."
Furiosa,hey I can't lower my rating,negative,"The only thing that doesn't quite keep the good job is that the plot is more around Furiosa than it is on Max, but hey I can't lower my rating because of that."
sound editing,awful,negative,"Just seen this at the cinema, firstly the sound editing is awful, the sound fx is too loud and dialogue too quiet."
sound fx,too loud and dialogue too quiet,negative,"Just seen this at the cinema, firstly the sound editing is awful, the sound fx is too loud and dialogue too quiet."
dialogue,too quiet,negative,"Just seen this at the cinema, firstly the sound editing is awful, the sound fx is too loud and dialogue too quiet."
Branagh,wooden,negative,"Branagh is wooden, there's no chemistry between Washington and Debicki."
Washington,there's no chemistry between Washington and Debicki,negative,"Branagh is wooden, there's no chemistry between Washington and Debicki."
Debicki,there's no chemistry between,negative,"Branagh is wooden, there's no chemistry between Washington and Debicki."
cast,the performances were perfect,positive,"The entire cast was excellent , the performances were perfect."
performances,the performances were perfect,positive,"The entire cast was excellent , the performances were perfect."
Mad Max,about what you would expect.,neutral,"""Mad Max: Fury Road"" is about what you would expect."
Schindler,hiding Jews,neutral,The black and white movie will take you into a journey of what it was like for Schindler and his thought on hiding Jews during the 1940s.
Tom Hardy's,as a personal fan,neutral,And as a personal fan of Tom Hardy's work I thought he did a great job.
Tom Hardy,impressed with the look and role of Tom Hardy as Max.,positive,"Totally, impressed with the look and role of Tom Hardy as Max."
Max,impressed with the look and role of Tom Hardy,positive,"Totally, impressed with the look and role of Tom Hardy as Max."
J.J. Abrams,balances sci-fi and drama,positive,It balances sci-fi and drama in the way you'd expect from masters such as J.J. Abrams.
suspense,it pulls at you from several angles,positive,"I like when a drama still has enough suspense combined with plot, character development, that it pulls at you from several angles."
goodridge,it was an excellent movie,positive,"it made me think of my little sister running around like the little girl, and when she was killed i had to choke back a tear or two (yes, goodridge, ME)*****************all in all it was an excellent movie..."
Max,as a story,neutral,Ya have to look at Max as a story.
Liam Neeson,playing Schindler had the best male performance,positive,Liam Neeson playing Schindler had the best male performance while Anna Mucha ( Danka Dresner ) and Embeth Davidth ( Helen Hirsh ) had the best female performances.
Anna Mucha ( Danka Dresner ),best male performance,positive,Liam Neeson playing Schindler had the best male performance while Anna Mucha ( Danka Dresner ) and Embeth Davidth ( Helen Hirsh ) had the best female performances.
Embeth Davidth ( Helen Hirsh ),had the best female performances,positive,Liam Neeson playing Schindler had the best male performance while Anna Mucha ( Danka Dresner ) and Embeth Davidth ( Helen Hirsh ) had the best female performances.
cast,stunning,positive,"All the cast is stunning, even the extras, in this movie there is no room for imperfection."
extras,stunning,positive,"All the cast is stunning, even the extras, in this movie there is no room for imperfection."
action sequence,resembles a lot like Death race,negative,"The action sequence of Fury Road resembles a lot like Death race, but well it suits better in a post apocalyptic struggle of War Lords rather than in a locked up prison race betting business."
Oskar Schindler,a businessman and a Nazi-supporter,neutral,"The movie is based on Oskar Schindler, a businessman and a Nazi-supporter, who initially makes huge wealth as a military supplier by employing homeless Jewish labour."
cinematography,it has to be the best made movie I have ever seen,positive,"Even though this may not be my favorite film, it has to be the best made movie I have ever seen, in terms of cinematography."
Schindler's List,reminds us of man's dirty and selfish nature,neutral,Schindler's List once again reminds us of man's dirty and selfish nature.
story,The story is great,positive,"The story is great, and it's special effects too."
special effects,The story is great,positive,"The story is great, and it's special effects too."
film scores,scores every department,positive,As a whole the film scores in every department.
directors,out of the box thinking,positive,Only few directors are having this out of the box thinking.
TENET,I think you'll think its okay or love it like I did,positive,In the end just enjoy TENET I think you'll think its okay or love it like I did despite the confusion fingers crossed I can have a second viewing before school starts8.2/10 or 8/10
acting,stellar,positive,All of the acting is absolutely stellar.
Oscars,willow whisp in the wind,neutral,This is a movie deserving of all the accolades it has gotten and in the future this movie will be remembered more than the movies that won at the Oscars for this movie has staying power while all the others are just willow whisp in the wind.
cinematography,amazing,positive,The cinematography and CGI where it was used was amazing.
CGI,amazing,positive,The cinematography and CGI where it was used was amazing.
Schindler's List,it is more than enough,positive,I have seen Schindler's List once and it is more than enough.
Schindler's list,never bother when you r watching Schindler's list,neutral,You never bother when you r watching Schindler's list.
Schindler's List,the best movie I've seen on the topic,positive,Schindler's List has to be the best movie I've seen on the topic.
gas prices,No wonder gas prices are so high on the west coast,neutral,No wonder gas prices are so high on the west coast.
cinematography,"From the direction, acting, screenplay, cinematography n editing",neutral,"From the direction, acting, screenplay, cinematography n editing."
editing,"From the direction, acting, screenplay, cinematography n editing",neutral,"From the direction, acting, screenplay, cinematography n editing."
cast,impeccable,positive,The performances from the cast are impeccable.
big screen,blue ray,neutral,Watch this without any disturbance at big screen or blue ray..
blue ray,big screen,neutral,Watch this without any disturbance at big screen or blue ray..
Mario's,06-Oct,neutral,Mario's rating: 6/10 (free ports)
IMDb,I specifically created an account,neutral,I've been a frequent user of IMDb but today I specifically created an account just to say how bad this movie was.
Furiousa,better,positive,Furiousa was better and brought some interest to the adventure.
hook,we're given no reason to care for the main cast,negative,"Action and an interesting hook can only carry a narrative so far, and we're given no reason to care for the main cast beside their familiar faces and some weak 'family' connections that are never developed."
cast,beside their familiar faces,neutral,"Action and an interesting hook can only carry a narrative so far, and we're given no reason to care for the main cast beside their familiar faces and some weak 'family' connections that are never developed."
Nicholas Hoult,I loved Nicholas Hoult,positive,"I loved Nicholas Hoult, as well, and Hugh Keays-Byrne, who played the Toecutter in the original Mad Max, has a powerful presence as the major villain."
Hugh Keays-Byrne,powerful presence as the major villain,positive,"I loved Nicholas Hoult, as well, and Hugh Keays-Byrne, who played the Toecutter in the original Mad Max, has a powerful presence as the major villain."
action,excellent visual and special effects,positive,"Non stop action, excellent visual and special effects makes this film a memorable one!"
special effects,excellent visual,positive,"Non stop action, excellent visual and special effects makes this film a memorable one!"
score,tremendous amount of noise from the terrible score left the cinema shaken,negative,The tremendous amount of noise from the terrible score left the cinema shaken.
Schindler's List,better than Saving Private Ryan,positive,Schindler's List is better than Saving Private Ryan.
Private Ryan,Schindler's List is better than Saving,positive,Schindler's List is better than Saving Private Ryan.
Robert Pattinson,great,positive,Robert Pattinson and David Washington were great in the movie.
David Washington,great,positive,Robert Pattinson and David Washington were great in the movie.
drink,emotional impact over a drink,neutral,We then discussed the film and the emotional impact over a drink.
Liam Neesen,incredible,positive,The acting is incredible (especially Liam Neesen in the last scene! ) and the story is well-paced despite it being a bit of a longer movie.
Nazi Germany,The brutality of Nazi Germany could never really be captured fully in a movie,neutral,The brutality of Nazi Germany could never really be captured fully in a movie.
deck,not a full deck as far as movies go,negative,Just not a full deck as far as movies go.
Steven Spielberg,the Oscar eluded master filmmaking,neutral,"For years, the Oscar eluded master filmmaking Steven Spielberg, from timeless classics to box office blockbusters, he was revered for making big budget entertainment, but was dismissed by other film directors and film critics for making so many family friendly films."
Nolan's,"""the following """,neutral,"Been following Nolan's work since ""the following ""."
background audio,too loud,negative,The background audio was too loud.
effects,after I watched it I was almost right.,neutral,At first I expected more effects than meaning in this movie and after I watched it I was almost right.
Schindler's List,a masterpiece,positive,Schindler's List is a masterpiece.
stakes,higher and elevated,negative,It definitely is an engaging movie but one that could've benefit from more time fleshing out the characters which would've made the stakes seem higher and elevated the movie.
Alejandro Jodorowsky,arty cinematography,neutral,"I just want to know if this movie was influenced by Alejandro Jodorowsky's EL TOPO. Desert settings (in Jodorowsky's case, Mexico), apocalyptic themes, arty cinematography and even the use of actors who are missing limbs, have other disabilities, possibly blindness, etc."
Jodorowsky,arty cinematography,neutral,"I just want to know if this movie was influenced by Alejandro Jodorowsky's EL TOPO. Desert settings (in Jodorowsky's case, Mexico), apocalyptic themes, arty cinematography and even the use of actors who are missing limbs, have other disabilities, possibly blindness, etc."
cinematography,arty,neutral,"I just want to know if this movie was influenced by Alejandro Jodorowsky's EL TOPO. Desert settings (in Jodorowsky's case, Mexico), apocalyptic themes, arty cinematography and even the use of actors who are missing limbs, have other disabilities, possibly blindness, etc."
quality,the quality of a screenplay no longer matters,negative,Hollywood seems to have entered an age where the quality of a screenplay no longer matters.
Tenet,If you're the type of person who enjoys watching a movie multiple times,neutral,If you're the type of person who enjoys watching a movie multiple times and dissecting it then you'll enjoy Tenet
rhythm,v slow,negative,"I watched this movie twice expecting a great movie as it always seen at the top of the lists, but unfortunately it has been overrated, the sequence and rhythm is v slow, many incidents historically untrue, no scene has left any kind of impact, sorry but the truth is ""easily forgettable movie""."
Mad Max,watched a real movie,neutral,It was I should have rented one of the old Mad Max films and watched a real movie.
score,in the end all i liked was the score and music period,neutral,I wanted to like it but in the end all i liked was the score and music period.
music,the score and music period,neutral,I wanted to like it but in the end all i liked was the score and music period.
Schindler,directly striking people's hearts,positive,"From any point of view of the film, Schindler has achieved the power of directly striking people's hearts."
plot,extremely strong,positive,And it was unlike anything I've ever seenWith an extremely strong plot like usual with Nolan.
Nolan,extremely strong plot,positive,And it was unlike anything I've ever seenWith an extremely strong plot like usual with Nolan.
Steven Spielberg,the direction,neutral,", the direction is Steven Spielberg , I admit that surprised me , you do not believe that the director of Jurassic Park , Jaws and É."
writers,writers didn't actually write a script for this.,negative,I began to think the writers didn't actually write a script for this.
Speilberg,he strips away our humanity,neutral,"Speilberg, immature since day one as director, tells us what to think, he strips away our humanity by overdosing us on excessive amounts of guilt and sentimentality."
director,overdosing us on excessive amounts of guilt and sentimentality,negative,"Speilberg, immature since day one as director, tells us what to think, he strips away our humanity by overdosing us on excessive amounts of guilt and sentimentality."
Oscar,You deserve Oscar,positive,You deserve Oscar and other awards.
Pattison,acting,neutral,I could just get to feel with Pattison acting.
Tom Hardy,a lone Road Warrior in a post apocalyptic wasteland,neutral,"Tom Hardy leads the film as Max, a lone Road Warrior in a post apocalyptic wasteland who reluctantly gets involved in a chase between a Warlord named Immortan Joe, and a female warrior named Furiosa, after she steals Joe's most prized possessions, his five wives."
Max,a lone Road Warrior in a post apocalyptic wasteland,neutral,"Tom Hardy leads the film as Max, a lone Road Warrior in a post apocalyptic wasteland who reluctantly gets involved in a chase between a Warlord named Immortan Joe, and a female warrior named Furiosa, after she steals Joe's most prized possessions, his five wives."
producers,great job,positive,The producers did such a great job.
practical effects,impressive practical effects and remarkable stunt work,positive,"Plus, this movie is filled to the brim with impressive practical effects and remarkable stunt work."
stunt work,impressive practical effects,positive,"Plus, this movie is filled to the brim with impressive practical effects and remarkable stunt work."
Nolan,Nolan does not care for the audience,negative,Nolan does not care for the audience anymore.
Tenet,Tenet will be confusing,negative,"For some viewers Tenet will be confusing, maybe even a little bloated in the exposition department."
exposition,bloated,negative,"For some viewers Tenet will be confusing, maybe even a little bloated in the exposition department."
costume design,best,positive,"This movie should have also won best actor, best supporting actor, best costume design, and best makeup/hairstyling."
Mad Max,I want to watch the original series,neutral,"It was my first Mad Max movie, now I want to watch the original series."
Steven Spielberg,it is guaranteed you probably left the cinema in tears,positive,"No one argues about the ingenuity of Steven Spielberg , if you first saw this film in the 90s, it is guaranteed you probably left the cinema in tears."
Madmax,something different and something new,positive,"This isn't Madmax, its something different and something new."
Mel Gibson,different,neutral,he interprets his character a little bit different to Mel Gibson ...
Technical side,too strong,positive,"Technical side is too strong, the concept is quite easy to understand and at the same time the movie brings you fully down and makes you understand the irony of life."
concept,the concept is quite easy to understand,positive,"Technical side is too strong, the concept is quite easy to understand and at the same time the movie brings you fully down and makes you understand the irony of life."
Mad Max,not really mad at all,positive,The only surprise is that the Mad Max is not really mad at all.
mad,not really mad at all,positive,The only surprise is that the Mad Max is not really mad at all.
movie,the acting was also good,positive,"All in all the movie was okay, and the acting was also good."
acting,good,positive,"All in all the movie was okay, and the acting was also good."
John Williams,Schindler's List,positive,The millions of fates touches me to tears every time I see the movie and listens to the Soundtrack-01 Theme by John Williams from Schindler's List.
film,it is a superb film and if watched should move you to tears,positive,"Having the film in black and white is a masterstroke, allowing the viewer to see the footage rather than being distracted by the colour, it is a superb film and if watched should move you to tears."
colour,it is a superb film and if watched should move you to tears,positive,"Having the film in black and white is a masterstroke, allowing the viewer to see the footage rather than being distracted by the colour, it is a superb film and if watched should move you to tears."
film,it is a superb film and if watched should move you to tears,positive,"Having the film in black and white is a masterstroke, allowing the viewer to see the footage rather than being distracted by the colour, it is a superb film and if watched should move you to tears."
Charlize Theron,the star of the show,positive,Charlize Theron is the star of the show and the only redeeming feature.
story,amazing,positive,"This is a perfect movie, so I am giving it an A+, for its amazing story, flawless performances, cinematography, and its great score."
cinematography,flawless performances,positive,"This is a perfect movie, so I am giving it an A+, for its amazing story, flawless performances, cinematography, and its great score."
score,great score,positive,"This is a perfect movie, so I am giving it an A+, for its amazing story, flawless performances, cinematography, and its great score."
Steven Spielberg,most accurate and haunting portrait of the Holocost ever,positive,Steven Spielberg has made the most accurate and haunting portrait of the Holocost ever.
Spielberg,I would have been surprised to find out.,neutral,"If I did not know Spielberg had directed it, I would have been surprised to find out."
action sequences,innovative action sequences,positive,But they are more than enough made up by some innovative action sequences.
Amon Goeth,you will see what an evil man he portrayed.,neutral,Read up on the real Amon Goeth and you will see what an evil man he portrayed.
"production, car and costume designs",Extremely creative,positive,"Extremely creative production, car and costume designs."
Mad Max's,I didn't understand Mad Max's character,negative,I didn't understand Mad Max's character..
Michael Bay,"Michael Bay would be absolutely proud of this ""Master piece"".",positive,"Michael Bay would be absolutely proud of this ""Master piece""."
David Washington,incredible chemistry,positive,lead duo David Washington and Robert Pattinson present us with incredible chemistry and a mystery about the past and future which leaves a sense of intrigue that is able to capture attention throughout the entire film.
Robert Pattinson,incredible chemistry,positive,lead duo David Washington and Robert Pattinson present us with incredible chemistry and a mystery about the past and future which leaves a sense of intrigue that is able to capture attention throughout the entire film.
B & W,hurt the box office,negative,"I'm sure the B & W hurt the box office, but Spielberg isn't concerned with that, was he?!"
Spielberg,the B & W hurt the box office,negative,"I'm sure the B & W hurt the box office, but Spielberg isn't concerned with that, was he?!"
John Williams,score can bring anyone to tears,positive,John Williams' score can bring anyone to tears.
score,bring anyone to tears,positive,John Williams' score can bring anyone to tears.
Spielberg's,second best,neutral,"Saving Private Ryan ( Spielberg's second best film) should have beaten Shakespeare in Love, L.A. Confidential should have beat Titanic, really anything could have beaten Titanic."
Titanic,anything could have beaten Titanic,negative,"Saving Private Ryan ( Spielberg's second best film) should have beaten Shakespeare in Love, L.A. Confidential should have beat Titanic, really anything could have beaten Titanic."
Titanic,anything could have beaten ,negative,"Saving Private Ryan ( Spielberg's second best film) should have beaten Shakespeare in Love, L.A. Confidential should have beat Titanic, really anything could have beaten Titanic."
sound mixing,awful,negative,"It's a really good film, however, it's overly complex and the sound mixing is awful, you can't hear half of the dialogue."
Direction,very good,positive,Direction: George Miller's direction has been very good in this film.
George Miller's direction,very good,positive,Direction: George Miller's direction has been very good in this film.
visuals,stunning visuals and amazing cinematography,positive,These are always accompanied by stunning visuals and amazing cinematography.
cinematography,amazing cinematography,positive,These are always accompanied by stunning visuals and amazing cinematography.
acting,emotional depth,positive,"The characters, acting, storyline, cinematography, and general atmosphere and emotional depth combine to make a movie like no other."
cinematography,emotional depth,positive,"The characters, acting, storyline, cinematography, and general atmosphere and emotional depth combine to make a movie like no other."
atmosphere,emotional depth,positive,"The characters, acting, storyline, cinematography, and general atmosphere and emotional depth combine to make a movie like no other."
iMAX,brilliant,positive,"iMAX experience was brilliant, a very stylish movie with minimal cgi, loads of actions and great cast and a great comeback movie with the return of cinema."
cgi,very stylish movie with minimal,positive,"iMAX experience was brilliant, a very stylish movie with minimal cgi, loads of actions and great cast and a great comeback movie with the return of cinema."
